Pulsar,HabCat,Distance (arcmin),Pulsar period
B1908+00A,34239,1.3261333765218675,0.003619
J1801-1417,28813,0.7613634137589735,0.003625
J1911-1114,34767,0.727402658396048,0.003626
J1828+0625,30509,1.2921938505415016,0.00363
J0024-7204P,59523,1.8538362795980174,0.003643
J1740-5340A,26871,0.2852170470663381,0.00365
J1748-2446ae,27236,0.8009959776572764,0.003659
B0021-72M,59523,1.838015791139277,0.003677
J1231-1411,2626,0.6240939071202565,0.003684
J1147-66,116101,1.626770990934409,0.00372
J1641+3627C,21724,0.8960276838227775,0.003722
J2129-5721,45933,1.0445122785182022,0.003726
J1801-0857C,29063,1.6625209186839927,0.003739
J1741+1351,26654,0.4183479764334793,0.003747
J1302-32,4416,1.5896770024295142,0.00377
J1905+0400,33719,1.8760975017641948,0.003784
J1923+2515,36347,1.6747235492111883,0.003788
J1748-2021F,27495,0.6871257296836427,0.003794
J0610-2100,88296,2.1381620652866724,0.003861
J1835-3259A,31576,0.85229688454438,0.003889
J1751-2857,27336,1.1373210165655727,0.003915
J1824-2452I,30102,1.0566264287868858,0.003932
J2019+2425,40652,1.0096090853497641,0.003935
J1957+2516,38594,0.6377760979974846,0.00396
B2127+11F,46899,1.3034044985743358,0.004027
J0024-7204Q,59523,1.866825412160406,0.004033
J1824-2452J,30102,1.057918293488282,0.004039
B0021-72G,59523,1.8583787910246616,0.00404
J1744-1134,26335,1.9704491635673567,0.004075
J1853+1303,33973,2.187294812346852,0.004092
J0509+08,83729,1.302254067592205,0.0041
J1824-2452L,30102,1.057918293488282,0.0041
J1431-5740,10751,1.7073274234789222,0.004111
J1653-2054,22970,0.9583004190859283,0.004129
J1824-2452C,30102,1.057918293488282,0.004159
J1737-0811,26729,1.3079384788954465,0.004175
J1844+0115,32270,0.35200914116389553,0.004186
J1807-2459B,28791,0.6240989043759223,0.004186
J1935+1726,36901,0.11228697366530363,0.0042
J1122+78,114640,0.6333651156916912,0.004201
J1748-2446W,27236,0.8009959776572764,0.004205
J1801-0857D,29063,1.6445229031246524,0.004227
J1312+0051,5474,0.8869419052880682,0.00423
J2047+1053,43090,0.6646274187429948,0.00429
J1950+2414,38594,1.3112377541940239,0.004305
J0024-7204U,59523,1.869424519778883,0.004343
B0021-72L,59523,1.8516893714480587,0.004346
J0533+67,85272,0.8162941122917649,0.00439
J1823-3021E,30020,1.411742582368551,0.004394
J1803-3002B,28411,1.4988787373090724,0.004397
J1813-2621,29833,1.1353850441207625,0.00443
J1748-2446ag,27236,0.8009959776572764,0.004448
J1824-2452K,30102,1.057918293488282,0.004461
J1850+0242,32644,1.457122071100811,0.00448
J1708-3506,23765,0.5851751739898544,0.004505
J2051-0827,43692,0.7029762705141354,0.004509
J1825-0319,31083,1.418669051207537,0.004554
J0024-7204Z,59523,1.8538362795980174,0.004554
J1713+0747,24353,0.4690501234018667,0.00457
J1910-5959E,34804,0.7406959660458939,0.004572
J1643-1224,22012,0.2766553738903043,0.004622
J1911+1347,34710,1.7583018576053309,0.004626
J1824-2452H,30102,1.057918293488282,0.004629
J1709+2313,24421,1.7296557685145726,0.004631
B2127+11E,46899,1.3019302032722673,0.004651
J1748-2446D,27236,0.8009959776572764,0.004714
J0024-7204X,59523,1.8538362795980174,0.004771
J1725-3853,25705,0.8835167294495226,0.004792
B2127+11D,46899,1.2997948246452862,0.004803
J2322+2057,56179,2.141000454997722,0.004808
J0024-7204V,59523,1.8538362795980174,0.00481
J1207-5050,894,1.695868954036302,0.00484
J1823-3021F,30020,1.411742582368551,0.00485
J0030+0451,60645,1.1525057729235804,0.004865
J1955+2527,38594,0.4334918385125737,0.004873
J1953+1846A,38216,1.7136164449241946,0.004888
J1900+0308,33719,2.231425538227231,0.004909
J1748-2446H,27236,0.8009959776572764,0.004926
J2124-3358,46022,0.3334606505817852,0.004931
J1748-2446ah,27236,0.8009959776572764,0.004965
J1910+1256,34710,0.9408088618891404,0.004984
J0514-4002A,84403,0.23771224166006502,0.004991
J1748-2446R,27236,0.8009959776572764,0.005029
J1913+0617,35572,1.8916667466833004,0.00503
J1142+0119,116949,0.20550176899452655,0.00507
J1943+2210,37906,1.162453838039243,0.005084
J1748-2446ac,27236,0.8009959776572764,0.005087
J1101-6424,113114,0.8387447495721921,0.005109
J1835-0114,31083,1.945818631605862,0.005116
J1748-2446ab,27236,0.8009959776572764,0.00512
J1750-3703D,27706,0.8570005583696187,0.00514
J1024-0719,110760,0.7154619208471844,0.005162
J1944+0907,37844,1.0882291328144256,0.005185
J2302+4442,54005,0.3009419573931779,0.005192
J2010-1323,40375,1.0067534670013094,0.005223
J1701-3006A,23438,0.26070919563030154,0.005242
J1012+5307,109787,0.3191072563126079,0.005256
J1910-5959C,34804,0.7663937277231039,0.005277
J1732-5049,26113,0.4524147220271046,0.005313
B0021-72D,59523,1.8606897426909512,0.005358
B1855+09,33109,0.9730953835257213,0.005362
J1911+0101B,34239,1.3323293291824045,0.005384
J1824-2452E,30102,1.057918293488282,0.00542
B1820-30A,30020,1.411510731491962,0.00544
J1342+2822D,7917,0.41579588067513434,0.005443
J1843-1448,32009,0.4327695811903584,0.005471
J0711-6830,95341,1.1868293620656083,0.005491
J1748-2446F,27236,0.8009959776572764,0.00554
J1120-3618,114811,1.0020515999716693,0.00555
B1516+02A,15500,0.2962769307474831,0.005554
J0437-4715,81242,0.5183915078404588,0.005757
B0021-72C,59523,1.8505528831755613,0.005757
J1748-2446aa,27236,0.8009959776572764,0.005788
J1719-1438,24591,0.8079726987463172,0.00579
J1453+1902,13698,0.70714114325902,0.005792
J1803-3002C,28411,1.4988787373090724,0.00584
J1738+0333,27114,1.8026405368463372,0.00585
J1646-2142,22118,0.2914558076944058,0.00585
J1824-2452G,30102,1.057918293488282,0.005909
J2033+1734,42281,0.9105093451448981,0.005949
J1629-6902,20724,1.0753316996207611,0.006001
J1750-3703B,27706,0.8540309666258042,0.006075
J1904+0451,33719,1.2704296883723813,0.006092
J1748-2446S,27236,0.8009959776572764,0.006117
B1953+29,39101,1.5691670417717465,0.006133
B1257+12,4699,0.9201305913262507,0.006219
J1748-2021C,27495,0.6839179695585522,0.006227
J1552-4937,18004,0.2576085907387459,0.006284
J1824-2452B,30102,1.057918293488282,0.006547
B2127+11H,46899,1.2999987342310553,0.006743
J2236-5527,52137,0.32011511363403194,0.006908
J1748-2446T,27236,0.8009959776572764,0.007085
J1551-0658,17766,0.7471607894415019,0.00709
J1803-30,28411,1.4988787373090724,0.007101
J1801-0857A,29063,1.6627793918559297,0.007176
J1801-3210,28502,0.09690190438898881,0.007454
J1045-4509,112379,0.22680610747061344,0.007474
J0024-7204T,59523,1.858893421954685,0.007588
J1405-4656,10335,1.4944216312102958,0.007602
J1701-3006C,23438,0.2633798675670074,0.007613
J2129-04,46871,1.0346477638843288,0.00762
J1918-0642,35788,1.0713121641999517,0.007646
J1901+0300,34239,2.2109137241886008,0.007797
J1546-59,17568,0.14772626262618607,0.0078
B1516+02B,15500,0.3039757299580087,0.007947
J1455-3330,13875,2.1336500327874224,0.007987
J1730-2304,25586,0.5398189728317675,0.008123
J1910-5959B,34804,0.7404237303015025,0.008358
J1748-2446C,27236,0.8026203194419358,0.008436
J1529-3828,16102,0.5639084053334277,0.008486
J1953+67,38574,0.4308420903365437,0.008565
J1748-2446N,27236,0.8009959776572764,0.008667
J0645+5158,91786,0.888314477370412,0.008853
J1757-5322,27429,1.557988105098354,0.00887
J1910-5959D,34804,0.7414594510770605,0.009035
J1804-2717,28528,0.6773589691276191,0.009343
J1435-6100,11706,0.6043671526128835,0.009348
J1337-6423,7670,0.6818315346827827,0.009423
J1748-2446I,27236,0.8009959776572764,0.00957
J0922-52,104790,1.3844156424320453,0.00968
J1748-3009,27336,0.539263422124398,0.009684
J0824+00,100133,1.3908585026067124,0.0099
B1639+36A,21724,0.8902916742601353,0.010378
J2140-2310A,47288,0.6151540496631607,0.011019
B1620-26,20652,0.48347705114008266,0.011076
J0900-3144,103565,0.6151834113210145,0.01111
J1525-5545,16514,1.1686369369400549,0.01136
B1744-24A,27236,0.7981876581383159,0.011563
J1802-2124,28494,0.46975104004454377,0.012648
J1755-3716,28005,0.16651728453053405,0.012786
J2140-2310B,47288,0.6142095086744803,0.012986
J1949+3106,38424,0.6577353604007593,0.013138
J1748-2021D,27495,0.6963108674668133,0.013496
J1603-7202,19402,1.5863870737811374,0.014842
J0721-2038,95165,0.5951649163567528,0.015542
J2145-0750,47722,0.5353423338512283,0.016052
J0537-6910,86775,0.5557172259050922,0.016122
J1748-2021E,27495,0.6895602215011191,0.016264
J1022+1001,110715,1.2924199341824745,0.016453
J1748-2021B,27495,0.6868927074659378,0.01676
J1914+0659,35572,1.658924120025101,0.01851
J1745-0952,26729,1.2411574583424319,0.019376
J1952+2630,38550,0.9829515938971025,0.020732
J1748-2446ai,27236,0.8009959776572764,0.021228
J1933+1726,36901,0.5378517487933687,0.02151
J1748-2446G,27236,0.8009959776572764,0.021672
J1939+66,37255,0.5304553324318079,0.022261
J0737-3039A,96182,1.0312815588657498,0.022699
B1802-07,29063,0.981686320080854,0.023101
J1622-6617,19865,0.6648664585711173,0.023623
J2007+2722,39631,0.6322296434770143,0.024497
J0214+5222,69872,0.5056553993317032,0.024575
J0407+1607,79094,0.18902179671615799,0.025702
J1056-7117,113933,0.9059530668000318,0.02631
J1750-3703C,27706,0.8566597905180875,0.026569
J1502-6752,13204,1.5104187038160293,0.026744
J1727-2946,25237,0.8672963455065013,0.027083
J1756-2251,27828,1.1267527221180893,0.028462
J1439-5501,13056,1.168249759362425,0.028635
J1038+0032,111844,0.2675363860540941,0.028852
J0621+1002,89583,1.7602205413747394,0.028854
