Pulsar, RA, DEC, Distance (arc min)
J1545-4550,15:45:55.9,-45:50:37.5,0.003575
J1701-3006B,17:01:12.6,-30:06:49.0,0.003594
J1600-3053,16:00:51.9,-30:53:49.3,0.003598
J1902-70,19:02,-70,0.0036
J2234+06,22:34:22,+06:11:00,0.0036
J1944+2236,19:44:01.0,+22:36:22.6,0.003618
B1908+00A,19:11:11.0,+01:02:09.7,0.003619
J1801-1417,18:01:51.0,-14:17:34.5,0.003625
J1911-1114,19:11:49.2,-11:14:22.3,0.003626
J1828+0625,18:28:28.0,+06:25:00.5,0.00363
J0024-7204P,00:24:05.6,-72:04:52.6,0.003643
J1740-5340A,17:40:44.5,-53:40:40.9,0.00365
J1748-2446ae,17:48:04.8,-24:46:45,0.003659
B0021-72M,00:23:54.4,-72:05:30.7,0.003677
J1231-1411,12:31:11.3,-14:11:43.6,0.003684
J1147-66,11:47,-66,0.00372
J1641+3627C,16:41:41,+36:27:37,0.003722
J2129-5721,21:29:22.7,-57:21:14.1,0.003726
J1801-0857C,18:01:50.7,-08:57:32.7,0.003739
J1741+1351,17:41:37,+13:51:44,0.003747
J1302-32,13:02,-32:00,0.00377
J1905+0400,19:05:28.2,+04:00:10.8,0.003784
J1923+2515,19:23:22.4,+25:15:40.6,0.003788
J1748-2021F,17:48:52.3,-20:21:39.3,0.003794
J0610-2100,06:10:13.5,-21:00:28.0,0.003861
J1835-3259A,18:35:44,-32:59:25,0.003889
J1751-2857,17:51:32.6,-28:57:46.5,0.003915
J1824-2452I,18:24:32.5,-24:52:08.6,0.003932
J2019+2425,20:19:31.9,+24:25:15.3,0.003935
J1957+2516,19:57,+25:16,0.00396
B2127+11F,21:29:57.1,+12:10:02.9,0.004027
J0024-7204Q,00:24:16.4,-72:04:25.1,0.004033
J1824-2452J,18:24:32.8,-24:52:11.2,0.004039
B0021-72G,00:24:07.9,-72:04:39.6,0.00404
J1744-1134,17:44:29.4,-11:34:54.6,0.004075
J1853+1303,18:53:57.3,+13:03:44.0,0.004092
J0509+08,05:09:24,+08:57:00,0.0041
J1824-2452L,18:24:32.8,-24:52:11.2,0.0041
J1431-5740,14:31:03.4,-57:40:11.6,0.004111
J1653-2054,16:53:31.0,-20:54:55.1,0.004129
J1824-2452C,18:24:32.8,-24:52:11.2,0.004159
J1737-0811,17:37:47.1,-08:11:08.8,0.004175
J1844+0115,18:44:40.5,+01:15:34.9,0.004186
J1807-2459B,18:07:20.8,-25:00:01.9,0.004186
J1935+1726,19:35:03.9,+17:26:28.4,0.0042
J1122+78,11:25:58,+78:23,0.004201
J1748-2446W,17:48:04.8,-24:46:45,0.004205
J1801-0857D,18:01:55.3,-08:57:24.3,0.004227
J1312+0051,13:12,+00:51,0.00423
J2047+1053,20:47,+10:53,0.00429
J1950+2414,19:50:45.0,+24:14:56.9,0.004305
J0024-7204U,00:24:09.8,-72:03:59.6,0.004343
B0021-72L,00:24:03.7,-72:04:56.9,0.004346
J0533+67,05:33,67,0.00439
J1823-3021E,18:23:40.5,-30:21:40.2,0.004394
J1803-3002B,18:03:34.1,-30:02:02,0.004397
J1813-2621,18:13:40.5,-26:21:57.0,0.00443
J1748-2446ag,17:48:04.8,-24:46:45,0.004448
J1824-2452K,18:24:32.8,-24:52:11.2,0.004461
J1850+0242,18:50:41.6,+02:42:57.4,0.00448
J1708-3506,17:08:17.6,-35:06:22.6,0.004505
J2051-0827,20:51:07.5,-08:27:37.7,0.004509
J1825-0319,18:25:55.9,-03:19:57.5,0.004554
J0024-7204Z,00:24:05.6,-72:04:52.6,0.004554
J1713+0747,17:13:49.5,+7:47:37.50,0.00457
J1910-5959E,19:10:52.1,-59:59:02.0,0.004572
J1643-1224,16:43:38.1,-12:24:58.7,0.004622
J1911+1347,19:11:55.2,+13:47:34.4,0.004626
J1824-2452H,18:24:32.8,-24:52:11.2,0.004629
J1709+2313,17:09:05.7,+23:13:27.8,0.004631
B2127+11E,21:29:58.1,+12:10:08.6,0.004651
J1748-2446D,17:48:04.8,-24:46:45,0.004714
J0024-7204X,00:24:05.6,-72:04:52.6,0.004771
J1725-3853,17:25:27.2,-38:53:04.2,0.004792
B2127+11D,21:29:58.2,+12:09:59.7,0.004803
J2322+2057,23:22:22.3,+20:57:02.9,0.004808
J0024-7204V,00:24:05.6,-72:04:52.6,0.00481
J1207-5050,12:07:21.8,-50:50:30.3,0.00484
J1823-3021F,18:23:40.5,-30:21:40.2,0.00485
J0030+0451,00:30:27.4,+04:51:39.7,0.004865
J1955+2527,19:55:59.3,+25:27:03.4,0.004873
J1953+1846A,19:53:46,+18:46:42,0.004888
J1900+0308,19:00:50.5,+03:08:24.0,0.004909
J1748-2446H,17:48:04.8,-24:46:45,0.004926
J2124-3358,21:24:43.8,-33:58:44.6,0.004931
J1748-2446ah,17:48:04.8,-24:46:45,0.004965
J1910+1256,19:10:09.7,+12:56:25.5,0.004984
J0514-4002A,05:14:06.6,-40:02:48.8,0.004991
J1748-2446R,17:48:04.8,-24:46:45,0.005029
J1913+0617,19:13,+06:17,0.00503
J1142+0119,11:42,+01:19,0.00507
J1943+2210,19:43:16.4,+22:10:23.1,0.005084
J1748-2446ac,17:48:04.8,-24:46:45,0.005087
J1101-6424,11:01:37.1,-64:24:39.3,0.005109
J1835-0114,18:35:21.9,-01:14:33.6,0.005116
J1748-2446ab,17:48:04.8,-24:46:45,0.00512
J1750-3703D,17:50:13.0,-37:03:06.3,0.00514
J1024-0719,10:24:38.6,-07:19:19.1,0.005162
J1944+0907,19:44:09.3,+09:07:23.2,0.005185
J2302+4442,23:02:46.9,+44:42:22.0,0.005192
J2010-1323,20:10:45.9,-13:23:56.0,0.005223
J1701-3006A,17:01:12.5,-30:06:30.1,0.005242
J1012+5307,10:12:33.4,+53:07:02.6,0.005256
J1910-5959C,19:11:05.5,-60:00:59.7,0.005277
