TRAPPIST-1,23:06:29.36,-05:02:29.2
Kepler-438 b,+18:46:34.99,+41:57:03.93
Kepler-152 b,+19:07:27.73,+41:59:20.69
Kepler-152 c,+19:07:27.73,+41:59:20.69
Kepler-100 b,19:25:32.6,+41:59:24
Kepler-100 c,19:25:32.636,+41:59:24.9
Kepler-243 b,+19:00:26.53,+42:02:02.26
Kepler-243 c,+19:00:26.53,+42:02:02.26
HD 16175 b,+02:37:01.94,+42:03:45.83
Kepler-314 b,+19:38:41.78,+42:04:32.09
Kepler-314 c,+19:38:41.78,+42:04:32.09
Kepler-196 b,+18:59:52.44,+42:04:45.12
Kepler-196 c,+18:59:52.44,+42:04:45.12
Kepler-207 b,+19:20:07.33,+42:09:57.78
Kepler-207 c,+19:20:07.33,+42:09:57.78
Kepler-207 d,+19:20:07.33,+42:09:57.78
Kepler-104 c,+19:10:25.10,+42:10:00.41
Kepler-104 d,+19:10:25.10,+42:10:00.41
Kepler-280 b,+19:25:33.71,+42:10:50.12
Kepler-280 c,+19:25:33.71,+42:10:50.12
Kepler-279 b,+19:09:33.88,+42:11:41.39
Kepler-359 b,+19:33:10.48,+42:11:46.86
Kepler-359 c,+19:33:10.48,+42:11:46.86
Kepler-359 d,+19:33:10.48,+42:11:46.86
HD 197037 b,+20:39:33.01,+42:14:56.72
Kepler-60 b,19:15:50.698,+42:15:54.0
Kepler-60 c,19:15:50.698,+42:15:54.0
Kepler-60 d,19:15:50.698,+42:15:54.0
Kepler-38 b,19:07:19.285,+42:16:45.1
Kepler-244 b,+19:08:58.24,+42:18:04.93
Kepler-244 c,+19:08:58.24,+42:18:04.93
Kepler-244 d,+19:08:58.24,+42:18:04.93
Kepler-20 e,19:10:47.524,+42:20:19.3
Kepler-20 f,19:10:47.524,+42:20:19.3
Kepler-20 b,19:10:47.524,+42:20:19.30
Kepler-20 c,19:10:47.524,+42:20:19.30
Kepler-20 d,19:10:47.524,+42:20:19.30
Kepler-374 b,+19:36:33.08,+42:22:13.80
Kepler-374 c,+19:36:33.08,+42:22:13.80
Kepler-374 d,+19:36:33.08,+42:22:13.80
Kepler-397 b,+19:43:34.57,+42:22:49.62
Kepler-397 c,+19:43:34.57,+42:22:49.62
Kepler-293 b,+19:05:25.94,+42:24:23.44
Kepler-293 c,+19:05:25.94,+42:24:23.44
Kepler-292 b,+19:43:03.86,+42:25:27.41
Kepler-292 c,+19:43:03.86,+42:25:27.41
Kepler-292 d,+19:43:03.86,+42:25:27.41
Kepler-292 e,+19:43:03.86,+42:25:27.41
Kepler-292 f,+19:43:03.86,+42:25:27.41
Kepler-28 b,19:28:32.887,+42:25:45.9
Kepler-28 c,19:28:32.887,+42:25:45.9
Kepler-343 b,+19:27:50.58,+42:25:58.84
Kepler-343 c,+19:27:50.58,+42:25:58.84
Kepler-245 b,+19:26:33.36,+42:26:10.75
Kepler-245 c,+19:26:33.36,+42:26:10.75
Kepler-245 d,+19:26:33.36,+42:26:10.75
Kepler-291 b,+19:11:39.91,+42:26:14.28
Kepler-291 c,19:11:39.91,+42:26:14.29
Kepler-8 b,18:45:09.148,+42:27:03.8
Kepler-312 b,+19:53:34.98,+42:27:35.10
Kepler-312 c,+19:53:34.98,+42:27:35.10
HAT-P-16 b,00:38:17.562,+42:27:47.2
HAT-P-6 b,23:39:05.806,+42:27:57.5
Kepler-61 b,19:41:13.08,+42:28:31.0
Kepler-208 b,+19:35:33.65,+42:31:40.69
Kepler-208 c,+19:35:33.65,+42:31:40.69
Kepler-208 d,+19:35:33.65,+42:31:40.69
Kepler-208 e,+19:35:33.65,+42:31:40.69
Kepler-136 b,+19:45:52.16,+42:35:55.64
Kepler-136 c,+19:45:52.16,+42:35:55.64
Kepler-46 b,19:17:04.499,+42:36:15.0
Kepler-46 c,19:17:04.499,+42:36:15.0
Kepler-209 b,+19:24:40.68,+42:38:26.92
Kepler-209 c,+19:24:40.68,+42:38:26.92
Kepler-351 b,+19:05:48.66,+42:39:28.37
Kepler-351 c,+19:05:48.66,+42:39:28.37
Kepler-119 b,+19:43:47.14,+42:39:32.11
Kepler-119 c,+19:43:47.14,+42:39:32.11
Kepler-246 b,+19:45:56.02,+42:39:48.35
Kepler-246 c,+19:45:56.02,+42:39:48.35
Kepler-290 b,+19:05:38.40,+42:40:53.58
Kepler-290 c,+19:05:38.40,+42:40:53.58
HIP 57050 b,+11:41:45.09,+42:45:07.89
Kepler-144 b,+18:47:39.77,+42:46:31.84
Kepler-144 c,+18:47:39.77,+42:46:31.84
Kepler-123 b,+19:47:59.68,+42:46:55.06
Kepler-123 c,+19:47:59.68,+42:46:55.06
Kepler-355 b,+19:03:11.88,+42:48:42.41
Kepler-355 c,+19:03:11.88,+42:48:42.41
Kepler-81 d,+19:34:32.88,+42:49:29.89
Kepler-81 b,19:34:32.87,+42:49:29.9
Kepler-81 c,19:34:32.87,+42:49:29.9
Kepler-160 b,+19:11:05.64,+42:52:09.41
Kepler-160 c,+19:11:05.64,+42:52:09.41
Kepler-289 d,19:49:51.682,+42:52:58.
Kepler-289 b,+19:49:51.67,+42:52:58.22
Kepler-289 c,+19:49:51.67,+42:52:58.22
Kepler-434 b,19:34:20.731,+42:55:44.
Kepler-82 b,19:31:29.61,+42:57:58.1
Kepler-82 c,19:31:29.61,+42:57:58.1
Kepler-82 d,+19:31:29.60,+42:57:58.10
Kepler-82 e,+19:31:29.60,+42:57:58.10
Kepler-137 b,+18:48:32.54,+43:02:20.76
Kepler-137 c,+18:48:32.54,+43:02:20.76
Kepler-247 b,+19:14:34.19,+43:02:21.44
Kepler-247 c,+19:14:34.19,+43:02:21.44
Kepler-247 d,+19:14:34.19,+43:02:21.44
Kepler-54 b,19:39:05.745,+43:03:22.6
Kepler-54 c,19:39:05.745,+43:03:22.6
Kepler-54 d,+19:39:05.76,+43:03:22.68
Kepler-184 b,+19:27:48.46,+43:04:28.96
Kepler-184 c,+19:27:48.46,+43:04:28.96
Kepler-184 d,+19:27:48.46,+43:04:28.96
Kepler-210 b,+19:30:00.83,+43:04:59.34
Kepler-210 c,+19:30:00.83,+43:04:59.34
Kepler-161 b,+19:22:03.97,+43:05:01.75
Kepler-161 c,+19:22:03.97,+43:05:01.75
Kepler-212 b,+19:10:28.99,+43:08:29.94
Kepler-212 c,+19:10:28.99,+43:08:29.94
Kepler-211 b,+19:01:45.41,+43:10:06.53
Kepler-211 c,+19:01:45.41,+43:10:06.53
Kepler-435 b,19:29:08.959,+43:11:50.
Kepler-112 b,+19:47:55.43,+43:12:35.10
Kepler-112 c,+19:47:55.43,+43:12:35.10
Kepler-431 b,18:44:26.900,+43:13:40.
Kepler-431 c,18:44:26.900,+43:13:40.
Kepler-431 d,18:44:26.900,+43:13:40.
Kepler-138 b,+19:21:31.57,+43:17:34.76
Kepler-402 b,+19:13:28.85,+43:21:16.60
Kepler-402 c,+19:13:28.85,+43:21:16.60
Kepler-402 d,+19:13:28.85,+43:21:16.60
Kepler-402 e,+19:13:28.85,+43:21:16.60
Kepler-315 b,+19:52:05.56,+43:21:48.67
Kepler-315 c,+19:52:05.56,+43:21:48.67
Kepler-392 b,+19:14:38.58,+43:22:05.09
Kepler-392 c,+19:14:38.58,+43:22:05.09
Kepler-341 b,+19:19:26.80,+43:28:21.97
Kepler-341 c,+19:19:26.80,+43:28:21.97
Kepler-341 d,+19:19:26.80,+43:28:21.97
Kepler-341 e,+19:19:26.80,+43:28:21.97
HAT-P-12 b,13:57:33.480,+43:29:36.7
Kepler-116 b,+19:38:58.09,+43:32:12.59
Kepler-116 c,+19:38:58.09,+43:32:12.59
Kepler-248 b,+19:32:14.75,+43:34:52.90
Kepler-248 c,+19:32:14.75,+43:34:52.90
Kepler-302 b,+19:37:16.07,+43:37:45.62
Kepler-302 c,+19:37:16.07,+43:37:45.62
Kepler-303 b,+18:52:32.52,+43:39:25.38
Kepler-303 c,+18:52:32.52,+43:39:25.38
Kepler-249 b,+19:47:56.40,+43:39:30.67
Kepler-249 c,+19:47:56.40,+43:39:30.67
Kepler-249 d,+19:47:56.40,+43:39:30.67
Kepler-83 d,+18:48:55.80,+43:39:56.27
Kepler-83 b,18:48:55.80,+43:39:56.3
Kepler-83 c,18:48:55.80,+43:39:56.3
Kepler-412 b,19:04:26.48,+43:40:51.46
Kepler-427 b,19:13:01.099,+43:42:17.5
Kepler-162 b,+19:49:06.92,+43:43:26.47
Kepler-162 c,+19:49:06.92,+43:43:26.47
HD 13931 b,+02:16:47.30,+43:46:24.39
HD 95127 b,+10:59:35.10,+43:48:52.17
14 Her b,+16:10:24.21,+43:49:06.13
Kepler-381 b,+19:00:43.88,+43:49:51.89
Kepler-381 c,+19:00:43.88,+43:49:51.89
Kepler-174 b,+19:09:45.40,+43:49:55.52
Kepler-174 c,+19:09:45.40,+43:49:55.52
Kepler-174 d,+19:09:45.40,+43:49:55.52
Kepler-176 b,+19:38:40.31,+43:51:11.74
Kepler-176 c,+19:38:40.31,+43:51:11.74
Kepler-176 d,+19:38:40.31,+43:51:11.74
Kepler-175 b,+19:18:12.78,+43:52:34.25
Kepler-175 c,+19:18:12.78,+43:52:34.25
Kepler-139 b,+18:49:34.07,+43:53:21.66
Kepler-139 c,+18:49:34.07,+43:53:21.66
Kepler-185 b,+18:49:52.36,+43:53:23.68
Kepler-185 c,+18:49:52.36,+43:53:23.68
Kepler-186 b,+19:54:36.65,+43:57:18.07
Kepler-186 c,+19:54:36.65,+43:57:18.07
Kepler-186 d,+19:54:36.65,+43:57:18.07
Kepler-186 e,+19:54:36.65,+43:57:18.07
Kepler-186 f,+19:54:36.65,+43:57:18.07
HD 99706 b,+11:28:30.18,+43:58:00.45
Kepler-357 b,+19:24:58.36,+44:00:31.39
Kepler-357 c,+19:24:58.36,+44:00:31.39
Kepler-357 d,+19:24:58.36,+44:00:31.39
GJ 15 A b,+00:18:20.54,+44:01:19.04
Kepler-55 b,19:00:40.401,+44:01:35.2
Kepler-55 c,19:00:40.401,+44:01:35.2
Kepler-55 d,+19:00:40.39,+44:01:35.26
Kepler-55 e,+19:00:40.39,+44:01:35.26
Kepler-55 f,+19:00:40.39,+44:01:35.26
Kepler-437 b,+19:49:23.374,+44:01:37.01
Kepler-439 b,+18:43:12.38,+44:02:02.40
Kepler-5 b,19:57:37.682,+44:02:06.1
HD 132563 B b,+14:58:21.57,+44:02:35.94
Kepler-327 b,+19:30:34.16,+44:05:15.61
Kepler-327 c,+19:30:34.16,+44:05:15.61
Kepler-327 d,+19:30:34.16,+44:05:15.61
Kepler-187 b,+19:59:11.15,+44:05:21.52
Kepler-187 c,+19:59:11.15,+44:05:21.52
Kepler-251 b,+19:46:15.89,+44:06:21.10
Kepler-251 c,+19:46:15.89,+44:06:21.10
Kepler-251 d,+19:46:15.89,+44:06:21.10
Kepler-251 e,+19:46:15.89,+44:06:21.10
Kepler-250 b,+19:18:22.75,+44:08:31.02
Kepler-250 c,+19:18:22.75,+44:08:31.02
Kepler-250 d,+19:18:22.75,+44:08:31.02
Kepler-321 b,+19:37:48.94,+44:08:45.49
Kepler-321 c,+19:37:48.94,+44:08:45.49
Kepler-266 b,+19:37:56.24,+44:10:00.88
Kepler-266 c,+19:37:56.24,+44:10:00.88
Kepler-316 b,+19:23:18.24,+44:11:02.80
Kepler-316 c,+19:23:18.24,+44:11:02.80
Kepler-126 b,+19:17:23.35,+44:12:30.64
Kepler-126 c,+19:17:23.35,+44:12:30.64
Kepler-126 d,+19:17:23.35,+44:12:30.64
HD 40979 b,+06:04:29.87,+44:15:38.93
Kepler-271 b,+18:52:00.70,+44:17:03.23
Kepler-271 c,+18:52:00.70,+44:17:03.23
Kepler-322 b,+18:45:23.72,+44:17:42.86
Kepler-322 c,+18:45:23.72,+44:17:42.86
HD 96127 b,+11:05:45.94,+44:18:05.63
Kepler-189 b,+19:10:15.53,+44:18:18.00
Kepler-189 c,+19:10:15.53,+44:18:18.00
Kepler-188 b,+18:45:07.13,+44:18:55.91
Kepler-188 c,+18:45:07.13,+44:18:55.91
Kepler-106 b,20:03:27.3,+44:20:15
Kepler-106 c,20:03:27.3,+44:20:15
Kepler-106 e,20:03:27.3,+44:20:15
Kepler-77 b,19:18:25.909,+44:20:43.5
Kepler-79 b,20:02:04.114,+44:22:53.4
Kepler-79 c,20:02:04.114,+44:22:53.4
Kepler-79 d,+20:02:04.13,+44:22:53.69
Kepler-79 e,+20:02:04.13,+44:22:53.69
Kepler-95 b,18:57:55.790,+44:23:52.9
Kepler-436 b,+20:06:53.0,+44:24:43.40
Kepler-270 b,+18:48:48.02,+44:25:20.28
Kepler-270 c,+18:48:48.02,+44:25:20.28
Kepler-78 b,19:34:57.989,+44:26:54.2
HD 216536 b,22:53:03.972,+44:28:39.
Kepler-37 b,18:56:14.306,+44:31:05.3
Kepler-37 c,18:56:14.306,+44:31:05.3
Kepler-37 d,18:56:14.306,+44:31:05.3
Kepler-252 b,+19:42:19.04,+44:32:45.46
Kepler-252 c,+19:42:19.04,+44:32:45.46
Kepler-388 b,+18:59:18.74,+44:36:31.43
Kepler-388 c,+18:59:18.74,+44:36:31.43
Kepler-349 b,+19:34:42.35,+44:36:56.09
Kepler-349 c,+19:34:42.35,+44:36:56.09
Kepler-42 b,19:28:52.556,+44:37:09.6
Kepler-42 c,19:28:52.556,+44:37:09.6
Kepler-42 d,19:28:52.556,+44:37:09.6
Kepler-34 b,19:45:44.597,+44:38:29.6
Kepler-213 b,+19:23:17.81,+44:38:49.85
Kepler-213 c,+19:23:17.81,+44:38:49.85
Kepler-57 b,19:34:33.908,+44:39:25.3
Kepler-57 c,19:34:33.908,+44:39:25.3
Kepler-111 b,+19:26:36.78,+44:41:17.77
Kepler-111 c,+19:26:36.78,+44:41:17.77
Kepler-190 b,+19:14:20.18,+44:44:01.68
Kepler-190 c,+19:14:20.18,+44:44:01.68
Kepler-18 b,19:52:19.067,+44:44:46.9
Kepler-18 c,19:52:19.067,+44:44:46.9
Kepler-18 d,19:52:19.067,+44:44:46.9
Kepler-281 b,+19:36:25.96,+44:46:14.52
Kepler-281 c,+19:36:25.96,+44:46:14.52
Kepler-360 b,+19:05:08.34,+44:46:53.58
Kepler-360 c,+19:05:08.34,+44:46:53.58
Kepler-384 b,+19:04:06.28,+44:46:58.33
Kepler-384 c,+19:04:06.28,+44:46:58.33
Kepler-282 b,+18:58:42.56,+44:47:51.65
Kepler-282 c,+18:58:42.56,+44:47:51.65
Kepler-330 b,+19:13:47.39,+44:48:06.05
Kepler-330 c,+19:13:47.39,+44:48:06.05
Kepler-253 b,+19:27:22.07,+44:51:29.12
Kepler-253 c,+19:27:22.07,+44:51:29.12
Kepler-253 d,+19:27:22.07,+44:51:29.12
Kepler-69 b,19:33:02.625,+44:52:08.0
Kepler-69 c,19:33:02.625,+44:52:08.0
Kepler-389 b,+19:27:50.40,+44:54:00.07
Kepler-389 c,+19:27:50.40,+44:54:00.07
HAT-P-36 b,12:33:03.909,+44:54:55.1
Kepler-446 b,18:49:00.051,+44:55:16.
Kepler-446 c,18:49:00.051,+44:55:16.
Kepler-446 d,18:49:00.051,+44:55:16.
Kepler-420 b,19:24:54.043,+44:55:38.
Kepler-214 b,+18:59:01.18,+44:57:21.71
Kepler-214 c,+18:59:01.18,+44:57:21.71
Kepler-406 b,19:27:23.531,+44:58:05.6
Kepler-406 c,19:27:23.531,+44:58:05.6
Kepler-421 b,18:53:01.637,+45:05:15.
Kepler-395 b,+19:34:02.68,+45:08:11.72
Kepler-395 c,+19:34:02.68,+45:08:11.72
Kepler-410 A b,18:52:36.163,+45:08:23.3
WASP-58 b,18:18:48.251,+45:10:19.1
Kepler-393 b,+19:23:58.85,+45:11:31.96
Kepler-393 c,+19:23:58.85,+45:11:31.96
Kepler-215 b,+19:39:53.64,+45:12:49.28
Kepler-215 c,+19:39:53.64,+45:12:49.28
Kepler-215 d,+19:39:53.64,+45:12:49.28
Kepler-215 e,+19:39:53.64,+45:12:49.28
Kepler-329 b,+19:57:04.32,+45:13:38.75
Kepler-329 c,+19:57:04.32,+45:13:38.75
Kepler-115 b,+19:50:50.86,+45:15:42.91
Kepler-115 c,19:50:50.86,+45:15:42.92
Kepler-85 b,19:23:53.62,+45:17:25.1
Kepler-85 c,19:23:53.62,+45:17:25.1
Kepler-85 d,+19:23:53.63,+45:17:25.15
Kepler-85 e,+19:23:53.63,+45:17:25.15
Kepler-191 b,+19:24:44.03,+45:19:23.41
Kepler-191 c,+19:24:44.03,+45:19:23.41
Kepler-404 b,+19:05:35.66,+45:20:36.71
Kepler-404 c,+19:05:35.66,+45:20:36.71
Kepler-62 b,18:52:51.059,+45:20:59.5
Kepler-62 c,18:52:51.059,+45:20:59.5
Kepler-62 d,18:52:51.059,+45:20:59.5
Kepler-62 e,18:52:51.059,+45:20:59.5
Kepler-62 f,18:52:51.059,+45:20:59.5
Kepler-295 b,+19:01:23.02,+45:22:04.01
Kepler-295 c,+19:01:23.02,+45:22:04.01
Kepler-295 d,+19:01:23.02,+45:22:04.01
Kepler-368 b,+19:27:31.21,+45:23:16.55
Kepler-368 c,+19:27:31.21,+45:23:16.55
Kepler-335 b,+19:44:15.43,+45:25:43.03
Kepler-335 c,+19:44:15.43,+45:25:43.03
HAT-P-40 b,22:22:03.098,+45:27:26.4
Kepler-192 b,+19:11:40.31,+45:35:34.33
Kepler-192 c,+19:11:40.31,+45:35:34.33
HD 81688 b,+09:28:39.99,+45:36:06.46
Kepler-387 b,+19:11:11.58,+45:39:24.16
Kepler-387 c,+19:11:11.58,+45:39:24.16
Kepler-44 b,20:00:24.564,+45:45:43.7
Kepler-254 b,+19:12:39.53,+45:48:59.44
Kepler-254 c,+19:12:39.53,+45:48:59.44
Kepler-254 d,+19:12:39.53,+45:48:59.44
Kepler-31 b,19:36:05.523,+45:51:11.0
Kepler-31 c,19:36:05.523,+45:51:11.0
Kepler-31 d,+19:36:05.51,+45:51:11.09
Kepler-382 b,+19:56:32.68,+45:52:11.75
Kepler-382 c,+19:56:32.68,+45:52:11.75
Kepler-345 b,+19:40:54.91,+45:58:15.67
Kepler-345 c,+19:40:54.91,+45:58:15.67
Kepler-255 b,+19:44:15.43,+45:58:36.62
Kepler-255 c,+19:44:15.43,+45:58:36.62
Kepler-41 b,19:38:03.175,+45:58:53.9
Kepler-326 b,+19:37:18.12,+46:00:08.10
Kepler-326 c,+19:37:18.12,+46:00:08.10
Kepler-326 d,+19:37:18.12,+46:00:08.10
Kepler-33 b,19:16:18.612,+46:00:18.7
Kepler-33 c,19:16:18.612,+46:00:18.7
Kepler-33 d,19:16:18.612,+46:00:18.7
Kepler-33 e,19:16:18.612,+46:00:18.7
Kepler-33 f,19:16:18.612,+46:00:18.7
Kepler-257 b,+19:49:15.85,+46:01:23.74
Kepler-257 c,+19:49:15.85,+46:01:23.74
Kepler-257 d,+19:49:15.85,+46:01:23.74
Kepler-127 b,+19:00:45.61,+46:01:40.66
Kepler-127 c,+19:00:45.61,+46:01:40.66
Kepler-127 d,+19:00:45.61,+46:01:40.66
Kepler-39 b,19:47:50.468,+46:02:03.4
Kepler-352 b,+19:59:35.16,+46:03:07.09
Kepler-352 c,+19:59:35.16,+46:03:07.09
Kepler-294 b,+19:09:34.09,+46:03:33.52
Kepler-294 c,+19:09:34.09,+46:03:33.52
Kepler-108 b,+19:38:14.21,+46:03:44.39
Kepler-108 c,+19:38:14.21,+46:03:44.39
Kepler-256 b,+19:30:19.30,+46:05:50.60
Kepler-256 c,+19:30:19.30,+46:05:50.60
Kepler-256 d,+19:30:19.30,+46:05:50.60
Kepler-256 e,+19:30:19.30,+46:05:50.60
Kepler-346 b,+19:12:02.84,+46:07:03.40
Kepler-346 c,+19:12:02.84,+46:07:03.40
Kepler-216 b,+19:34:54.73,+46:07:44.94
Kepler-216 c,+19:34:54.73,+46:07:44.94
Kepler-320 b,+19:32:51.25,+46:10:30.47
Kepler-320 c,+19:32:51.25,+46:10:30.47
Kepler-218 b,+19:41:39.08,+46:15:59.29
Kepler-218 c,+19:41:39.08,+46:15:59.29
Kepler-105 c,+19:11:32.96,+46:16:34.46
Kepler-217 b,+19:32:09.06,+46:16:39.07
Kepler-217 c,+19:32:09.06,+46:16:39.07
Kepler-422 b,18:50:31.117,+46:19:24.0
Kepler-344 b,+19:29:59.93,+46:19:27.88
Kepler-344 c,+19:29:59.93,+46:19:27.88
Kepler-423 b,19:31:25.378,+46:23:28.2
Kepler-378 b,+19:39:47.66,+46:26:19.10
Kepler-378 c,+19:39:47.66,+46:26:19.10
Kepler-445 b,19:54:56.658,+46:29:54.
Kepler-445 c,19:54:56.658,+46:29:54.
Kepler-445 d,19:54:56.658,+46:29:54.
Kepler-26 b,18:59:45.839,+46:33:59.5
Kepler-26 c,18:59:45.839,+46:33:59.5
Kepler-26 d,+18:59:45.85,+46:33:59.54
Kepler-26 e,+18:59:45.85,+46:33:59.54
Kepler-32 b,19:51:22.177,+46:34:27.3
Kepler-32 c,19:51:22.177,+46:34:27.3
Kepler-32 d,19:51:22.177,+46:34:27.3
Kepler-32 e,19:51:22.177,+46:34:27.3
Kepler-32 f,19:51:22.177,+46:34:27.3
Kepler-193 b,+19:45:59.65,+46:34:38.06
Kepler-193 c,+19:45:59.65,+46:34:38.06
Kepler-258 b,+19:36:16.45,+46:34:45.59
Kepler-258 c,+19:36:16.45,+46:34:45.59
Kepler-259 b,+19:12:50.87,+46:36:54.00
Kepler-259 c,+19:12:50.87,+46:36:54.00
Kepler-59 b,19:08:09.481,+46:38:24.4
Kepler-59 c,19:08:09.481,+46:38:24.4
Kepler-43 b,19:00:57.810,+46:40:05.6
HAT-P-32 b,02:04:10.278,+46:41:16.2
Kepler-35 b,19:37:59.275,+46:41:23.1
Kepler-342 b,+19:30:42.73,+46:43:36.16
Kepler-342 c,+19:30:42.73,+46:43:36.16
Kepler-342 d,+19:30:42.73,+46:43:36.16
Kepler-361 b,+19:47:12.84,+46:44:28.14
Kepler-361 c,+19:47:12.84,+46:44:28.14
Kepler-403 b,+19:19:41.16,+46:44:40.42
Kepler-403 c,+19:19:41.16,+46:44:40.42
Kepler-219 b,+19:14:57.37,+46:45:45.22
Kepler-219 c,+19:14:57.37,+46:45:45.22
Kepler-219 d,+19:14:57.37,+46:45:45.22
Kepler-140 b,+19:09:28.69,+46:46:05.59
Kepler-140 c,+19:09:28.69,+46:46:05.59
Kepler-318 b,+19:53:55.86,+46:47:37.03
Kepler-318 c,+19:53:55.86,+46:47:37.03
Kepler-221 b,+19:46:37.13,+46:50:06.97
Kepler-221 c,+19:46:37.13,+46:50:06.97
Kepler-221 d,+19:46:37.13,+46:50:06.97
Kepler-221 e,+19:46:37.13,+46:50:06.97
Kepler-148 b,+19:19:08.69,+46:51:31.64
Kepler-148 c,+19:19:08.69,+46:51:31.64
KOI-13 b,19:07:53.107,+46:52:05.9
Kepler-220 b,+19:26:01.46,+46:53:44.66
Kepler-220 c,+19:26:01.46,+46:53:44.66
Kepler-220 d,+19:26:01.46,+46:53:44.66
Kepler-220 e,+19:26:01.46,+46:53:44.66
Kepler-178 b,+19:08:24.25,+46:53:47.33
Kepler-178 c,+19:08:24.25,+46:53:47.33
Kepler-178 d,+19:08:24.25,+46:53:47.33
Kepler-47 b,19:41:11.500,+46:55:13.6
Kepler-47 c,19:41:11.500,+46:55:13.6
Kepler-222 b,+19:11:37.46,+46:56:15.97
Kepler-222 c,+19:11:37.46,+46:56:15.97
Kepler-222 d,+19:11:37.46,+46:56:15.97
Kepler-309 b,+19:50:02.36,+46:57:40.54
Kepler-309 c,+19:50:02.36,+46:57:40.54
Kepler-87 b,19:51:40.0,+46:57:54
Kepler-87 c,19:51:40.0,+46:57:54
Kepler-310 b,+19:15:21.46,+46:59:12.26
Kepler-310 c,+19:15:21.46,+46:59:12.26
Kepler-310 d,+19:15:21.46,+46:59:12.26
Kepler-163 b,+19:40:00.66,+46:59:14.39
Kepler-163 c,+19:40:00.66,+46:59:14.39
HAT-P-44 b,14:12:34.567,+47:00:52.9
HD 154345 b,+17:02:36.30,+47:04:47.29
Kepler-311 b,+18:48:14.72,+47:05:07.76
Kepler-311 c,+18:48:14.72,+47:05:07.76
Kepler-334 b,+19:08:33.76,+47:06:54.68
Kepler-334 c,+19:08:33.76,+47:06:54.68
Kepler-334 d,+19:08:33.76,+47:06:54.68
Kepler-267 b,+19:59:19.28,+47:09:26.86
Kepler-267 c,+19:59:19.28,+47:09:26.86
Kepler-267 d,+19:59:19.28,+47:09:26.86
Kepler-337 b,+19:20:14.53,+47:09:50.26
Kepler-337 c,+19:20:14.53,+47:09:50.26
Kepler-102 b,18:45:55.8,+47:12:28
Kepler-102 d,18:45:55.8,+47:12:28
Kepler-102 e,18:45:55.8,+47:12:28
Kepler-102 f,18:45:55.8,+47:12:28
Kepler-223 b,+19:53:16.40,+47:16:46.16
Kepler-223 c,+19:53:16.40,+47:16:46.16
Kepler-223 d,+19:53:16.40,+47:16:46.16
Kepler-223 e,+19:53:16.40,+47:16:46.16
Kepler-14 b,19:10:50.110,+47:19:58.8
HAT-P-13 b,08:39:31.813,+47:21:07.3
HAT-P-13 c,08:39:31.813,+47:21:07.330
Kepler-224 b,+19:23:44.23,+47:21:27.36
Kepler-224 c,+19:23:44.23,+47:21:27.36
Kepler-224 d,+19:23:44.23,+47:21:27.36
Kepler-224 e,+19:23:44.23,+47:21:27.36
Kepler-364 b,+18:46:16.79,+47:23:55.28
Kepler-364 c,+18:46:16.79,+47:23:55.28
Kepler-332 b,+19:06:39.10,+47:24:49.32
Kepler-332 c,+19:06:39.10,+47:24:49.32
Kepler-332 d,+19:06:39.10,+47:24:49.32
Kepler-225 b,+19:28:46.56,+47:27:25.52
Kepler-225 c,+19:28:46.56,+47:27:25.52
Kepler-29 b,19:53:23.598,+47:29:28.4
Kepler-29 c,19:53:23.598,+47:29:28.4
Kepler-94 b,18:44:46.7,+47:29:49
Kepler-40 b,19:47:15.285,+47:31:35.5
Kepler-362 b,+19:27:05.18,+47:31:47.64
Kepler-362 c,+19:27:05.18,+47:31:47.64
Kepler-272 b,+19:56:30.59,+47:35:37.79
Kepler-272 c,+19:56:30.59,+47:35:37.79
Kepler-272 d,+19:56:30.59,+47:35:37.79
Kepler-125 b,+19:53:01.97,+47:36:17.78
Kepler-125 c,+19:53:01.97,+47:36:17.78
Kepler-164 b,+19:11:07.40,+47:37:47.68
Kepler-164 c,+19:11:07.40,+47:37:47.68
Kepler-164 d,+19:11:07.40,+47:37:47.68
Kepler-273 b,+19:25:12.54,+47:41:51.94
Kepler-273 c,+19:25:12.54,+47:41:51.94
Kepler-284 b,+19:32:35.16,+47:43:46.74
Kepler-284 c,+19:32:35.16,+47:43:46.74
Kepler-141 b,+19:51:53.03,+47:43:54.05
Kepler-141 c,+19:51:53.03,+47:43:54.05
Kepler-179 b,+19:54:39.31,+47:45:43.34
Kepler-179 c,+19:54:39.31,+47:45:43.34
Kepler-165 b,+18:42:45.83,+47:48:35.06
Kepler-165 c,+18:42:45.83,+47:48:35.06
Kepler-17 b,19:53:34.866,+47:48:54.0
Kepler-283 b,+19:34:27.30,+47:50:20.40
Kepler-283 c,+19:34:27.30,+47:50:20.40
Kepler-129 b,+19:01:14.70,+47:50:54.82
Kepler-129 c,+19:01:14.70,+47:50:54.82
Kepler-194 b,+19:27:53.14,+47:51:51.01
Kepler-194 c,+19:27:53.14,+47:51:51.01
Kepler-194 d,+19:27:53.14,+47:51:51.01
Kepler-226 b,+19:29:30.26,+47:52:51.56
Kepler-226 c,+19:29:30.26,+47:52:51.56
Kepler-226 d,+19:29:30.26,+47:52:51.56
Kepler-22 b,19:16:52.193,+47:53:03.9
Kepler-369 b,+19:34:41.81,+47:54:30.46
Kepler-369 c,+19:34:41.81,+47:54:30.46
